"npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
2,"< 5",66,"bio",270799,24999.5,1
1,"< 5",51,"bio",270106,24999.5,0
1,"< 5",36,"bio",270708,24999.5,0
1,"5-10",46,"bio",270603,24999.5,0
4,"> 10",46,"physics",240402,24999.5,1
2,"< 5",46,"bio",270603,24999.5,0
1,"< 5",36,"chem",250103,24999.5,1
2,"5-10",45,"bio",270603,24999.5,1
1,"< 5",35,"beh_cog",380107,24999.5,1
2,"< 5",51,"bio",270203,24999.5,1
3,"< 5",72,"beh_cog",380199,24999.5,1
4,"> 10",41,"physics",240401,24999.5,1
1,"> 10",35,"physics",240101,24999.5,1
2,"< 5",56,"beh_cog",380303,24999.5,0
2,"< 5",56,"beh_cog",380201,24999.5,1
2,"< 5",52,"bio",270199,24999.5,1
3,"< 5",51,"bio",270403,24999.5,1
1,"< 5",32,"bio",270602,24999.5,0
1,"> 10",61,"beh_cog",380106,24999.5,0
1,"< 5",31,"bio",270199,24999.5,1
2,"< 5",50,"bio",270708,24999.5,1
2,"< 5",61,"beh_cog",380103,24999.5,1
2,"< 5",40,"bio",270208,24999.5,0
2,"< 5",31,"bio",270203,24999.5,0
1,"< 5",27,"bio",270201,24999.5,0
2,"> 10",56,"bio",270599,24999.5,1
1,"< 5",36,"bio",270702,24999.5,1
4,"< 5",51,"bio",270299,24999.5,1
2,"< 5",41,"bio",270208,24999.5,0
1,"< 5",60,"beh_cog",380107,24999.5,0
2,"5-10",45,"bio",270603,24999.5,1
3,"> 10",58,"bio",270707,24999.5,1
1,"< 5",46,"bio",270103,24999.5,1
1,"< 5",31,"bio",270707,24999.5,1
1,"< 5",27,"beh_cog",380107,24999.5,0
1,"5-10",35,"bio",270108,24999.5,1
3,"< 5",41,"bio",270402,24999.5,0
1,"5-10",41,"bio",270603,24999.5,1
2,"5-10",58,"beh_cog",380199,24999.5,1
2,"5-10",38,"bio",270702,24999.5,1
1,"5-10",31,"bio",270707,24999.5,0
1,"< 5",41,"bio",270603,24999.5,1
2,"> 10",55,"bio",270202,24999.5,0
1,"< 5",36,"bio",270702,24999.5,0
1,"< 5",50,"bio",270104,24999.5,0
1,"< 5",35,"bio",270201,24999.5,0
1,"> 10",56,"bio",270599,24999.5,0
2,"< 5",42,"bio",270402,24999.5,1
1,"< 5",36,"beh_cog",380203,24999.5,1
1,"< 5",40,"soc",370499,24999.5,1
1,"5-10",35,"bio",270103,24999.5,0
2,"< 5",41,"chem",250102,24999.5,1
1,"< 5",40,"soc",370499,24999.5,0
1,"> 10",55,"bio",270603,24999.5,1
2,"> 10",32,"physics",240499,24999.5,1
1,"< 5",65,"physics",240302,24999.5,0
1,"< 5",31,"bio",270205,24999.5,1
1,"< 5",27,"chem",250501,24999.5,1
2,"< 5",57,"beh_cog",380206,24999.5,1
2,"> 10",51,"bio",270101,24999.5,0
1,"> 10",56,"soc",370204,24999.5,1
1,"< 5",43,"soc",370203,24999.5,0
2,"< 5",53,"bio",270603,24999.5,1
1,"> 10",33,"bio",270107,24999.5,1
1,"< 5",40,"chem",250200,24999.5,1
1,"< 5",32,"soc",370601,24999.5,1
3,"< 5",51,"bio",270403,24999.5,1
1,"< 5",33,"bio",270103,24999.5,1
1,"> 10",35,"bio",270304,24999.5,0
NA,"> 10",NA,"bio",270899,24999.5,1
3,"> 10",47,"bio",270401,24999.5,1
2,"> 10",52,"bio",270504,24999.5,1
2,"5-10",41,"bio",270603,24999.5,1
3,"< 5",52,"bio",270102,24999.5,0
1,"< 5",55,"bio",270402,24999.5,1
2,"< 5",62,"beh_cog",380103,24999.5,0
1,"< 5",31,"chem",250201,24999.5,1
1,"< 5",31,"bio",270603,24999.5,0
1,"> 10",47,"bio",270603,24999.5,1
1,"> 10",40,"bio",270403,24999.5,1
1,"> 10",31,"beh_cog",380101,24999.5,1
2,"< 5",46,"bio",270304,24999.5,0
3,"> 10",61,"beh_cog",380106,24999.5,1
1,"> 10",46,"bio",270499,24999.5,1
3,"> 10",41,"bio",270101,24999.5,0
2,"5-10",36,"bio",270708,24999.5,1
1,"< 5",31,"bio",270401,24999.5,0
1,"< 5",36,"bio",270602,24999.5,0
2,"> 10",32,"chem",250107,24999.5,1
4,"< 5",55,"soc",370603,24999.5,1
1,"< 5",41,"chem",250103,24999.5,1
1,"< 5",41,"bio",270402,24999.5,1
2,"5-10",53,"bio",270799,24999.5,1
1,"< 5",45,"bio",270103,24999.5,1
1,"< 5",36,"bio",270702,24999.5,0
2,"> 10",40,"bio",270401,24999.5,0
2,"5-10",45,"bio",270603,24999.5,0
1,"< 5",46,"bio",270707,24999.5,1
1,"> 10",30,"chem",250104,24999.5,1
1,"> 10",36,"physics",240101,24999.5,1
1,"> 10",55,"bio",270705,24999.5,1
1,"< 5",31,"bio",270103,24999.5,1
2,"5-10",46,"bio",270899,24999.5,0
2,"< 5",41,"bio",270602,24999.5,1
1,"> 10",NA,"bio",270703,24999.5,0
2,"5-10",46,"bio",270603,24999.5,1
1,"< 5",51,"chem",250302,24999.5,0
3,"> 10",46,"bio",270304,24999.5,0
2,"< 5",72,"beh_cog",380107,24999.5,0
1,"< 5",46,"bio",270707,24999.5,1
2,"5-10",46,"bio",270603,24999.5,1
2,"< 5",46,"bio",270107,24999.5,1
2,"< 5",46,"bio",270102,24999.5,0
3,"> 10",56,"bio",270106,24999.5,1
2,"5-10",36,"bio",270199,24999.5,1
2,"5-10",45,"bio",270603,24999.5,1
1,"< 5",46,"bio",270401,24999.5,1
2,"> 10",48,"bio",270701,24999.5,1
3,"> 10",61,"bio",270401,24999.5,0
2,"> 10",46,"bio",270602,24999.5,1
3,"5-10",47,"bio",270306,24999.5,1
1,"< 5",31,"bio",270707,24999.5,1
1,"> 10",36,"physics",240101,24999.5,1
5,"< 5",47,"physics",240202,24999.5,1
2,"> 10",51,"bio",270403,24999.5,1
3,"< 5",57,"bio",270504,24999.5,1
3,"5-10",57,"beh_cog",380205,24999.5,1
2,"> 10",55,"bio",270703,24999.5,1
2,"< 5",50,"bio",270708,24999.5,1
1,"> 10",30,"beh_cog",380103,24999.5,0
2,"< 5",41,"bio",270402,24999.5,1
1,"< 5",61,"soc",370302,24999.5,1
3,"< 5",46,"bio",270303,24999.5,1
2,"5-10",45,"bio",270603,24999.5,1
3,"> 10",48,"physics",240499,24999.5,0
1,"< 5",36,"bio",270708,24999.5,0
1,"> 10",32,"beh_cog",380105,24999.5,1
4,"< 5",36,"chem",250103,24999.5,1
2,"< 5",41,"chem",250203,24999.5,1
3,"< 5",36,"chem",250201,24999.5,1
1,"< 5",32,"bio",270602,24999.5,0
1,"< 5",36,"bio",270208,24999.5,1
4,"> 10",52,"bio",270106,24999.5,1
2,"< 5",51,"chem",250201,24999.5,1
1,"< 5",38,"bio",270709,24999.5,0
2,"> 10",56,"bio",270705,24999.5,1
1,"> 10",42,"soc",370601,24999.5,1
4,"5-10",43,"bio",270708,24999.5,1
1,"> 10",53,"bio",270708,24999.5,1
2,"< 5",56,"beh_cog",380101,24999.5,0
3,"> 10",51,"bio",270402,24999.5,1
1,"< 5",30,"soc",370402,24999.5,1
1,"5-10",46,"bio",270102,24999.5,1
1,"< 5",31,"beh_cog",380207,24999.5,1
1,"> 10",52,"soc",370501,24999.5,0
3,"< 5",57,"bio",270504,24999.5,1
2,"< 5",50,"bio",270501,24999.5,1
2,"5-10",45,"bio",270603,24999.5,1
3,"> 10",56,"chem",250103,24999.5,1
3,"< 5",37,"bio",270599,24999.5,1
3,"< 5",57,"bio",270599,24999.5,1
4,"> 10",57,"bio",270499,24999.5,1
2,"< 5",43,"bio",270199,24999.5,0
1,"< 5",36,"bio",270708,24999.5,1
2,"5-10",47,"bio",270102,24999.5,0
4,"< 5",53,"chem",250302,24999.5,0
1,"> 10",46,"physics",240503,24999.5,1
1,"5-10",42,"bio",270299,24999.5,0
1,"< 5",40,"chem",250103,24999.5,1
1,"> 10",47,"beh_cog",380205,24999.5,1
2,"5-10",48,"bio",270203,24999.5,0
1,"< 5",31,"bio",270205,24999.5,0
1,"> 10",26,"chem",250103,24999.5,0
1,"> 10",30,"beh_cog",380103,24999.5,1
1,"< 5",31,"chem",250302,24999.5,1
1,"< 5",27,"bio",270499,24999.5,1
2,"< 5",46,"bio",270201,24999.5,1
1,"< 5",31,"bio",270501,24999.5,1
4,"5-10",57,"bio",270199,24999.5,0
1,"< 5",32,"beh_cog",380105,24999.5,0
2,"5-10",41,"beh_cog",380107,24999.5,0
4,"> 10",42,"physics",240301,24999.5,0
2,"> 10",NA,"bio",270802,24999.5,0
3,"5-10",46,"bio",270102,24999.5,0
2,"> 10",47,"bio",270708,24999.5,1
1,"> 10",56,"bio",270299,24999.5,1
1,"< 5",41,"chem",250302,24999.5,1
1,"> 10",48,"chem",250104,24999.5,1
2,"> 10",61,"bio",270105,24999.5,1
3,"< 5",37,"bio",270599,24999.5,1
3,"< 5",52,"bio",270402,24999.5,1
2,"< 5",53,"bio",270402,24999.5,0
3,"> 10",57,"bio",270599,24999.5,1
4,"> 10",57,"bio",270499,24999.5,1
5,"< 5",56,"soc",370603,24999.5,1
1,"< 5",33,"bio",270499,24999.5,1
2,"> 10",46,"chem",250303,24999.5,0
1,"> 10",31,"physics",240499,24999.5,1
2,"< 5",38,"bio",270703,24999.5,0
4,"< 5",47,"bio",270107,24999.5,1
2,"> 10",36,"bio",270208,24999.5,0
2,"> 10",52,"bio",270702,24999.5,1
1,"5-10",42,"bio",270106,24999.5,0
2,"> 10",47,"bio",270708,24999.5,1
3,"> 10",68,"bio",270306,24999.5,1
1,"< 5",36,"bio",270704,24999.5,1
2,"5-10",45,"bio",270603,24999.5,1
2,"> 10",67,"bio",270106,24999.5,0
1,"< 5",27,"bio",270106,24999.5,1
3,"> 10",53,"bio",270402,24999.5,1
2,"> 10",43,"bio",270603,24999.5,1
2,"> 10",51,"bio",270702,24999.5,1
1,"< 5",52,"soc",370107,24999.5,0
2,"> 10",48,"bio",270708,24999.5,1
2,"< 5",51,"bio",270501,24999.5,1
1,"< 5",41,"bio",270603,24999.5,1
1,"< 5",36,"physics",240101,24999.5,0
2,"5-10",41,"bio",270707,24999.5,1
2,"< 5",42,"chem",250203,24999.5,1
4,"> 10",40,"beh_cog",380103,24999.5,1
2,"< 5",37,"beh_cog",380205,24999.5,1
1,"> 10",41,"physics",240499,24999.5,1
2,"< 5",43,"bio",270602,24999.5,1
3,"5-10",57,"beh_cog",380205,24999.5,1
3,"> 10",50,"bio",270501,24999.5,0
1,"< 5",31,"chem",250302,24999.5,1
2,"5-10",41,"bio",270707,24999.5,1
2,"> 10",46,"bio",270602,24999.5,1
1,"> 10",56,"soc",370301,24999.5,1
1,"> 10",56,"soc",370301,24999.5,1
2,"5-10",43,"bio",270103,24999.5,0
2,"5-10",45,"bio",270603,24999.5,1
2,"5-10",41,"bio",270603,24999.5,0
3,"> 10",32,"physics",240499,24999.5,1
1,"> 10",56,"physics",240101,24999.5,1
1,"< 5",31,"physics",240302,24999.5,1
3,"< 5",53,"bio",270402,24999.5,1
4,"> 10",58,"bio",270706,24999.5,1
1,"< 5",38,"bio",270208,24999.5,1
1,"< 5",32,"physics",240201,24999.5,1
4,"< 5",36,"chem",250201,24999.5,1
1,"> 10",61,"bio",270306,24999.5,1
1,"< 5",37,"physics",240402,24999.5,1
1,"< 5",32,"bio",270199,24999.5,1
1,"> 10",38,"physics",240204,24999.5,0
2,"< 5",48,"bio",270106,24999.5,1
3,"> 10",37,"chem",250102,24999.5,0
3,"> 10",48,"chem",250199,24999.5,0
1,"< 5",32,"bio",270402,24999.5,1
1,"< 5",32,"bio",270103,24999.5,0
1,"> 10",33,"bio",270107,24999.5,1
1,"< 5",37,"bio",270401,24999.5,1
1,"< 5",32,"physics",240204,24999.5,1
2,"< 5",52,"bio",270799,24999.5,1
2,"> 10",42,"bio",270603,24999.5,0
1,"< 5",31,"bio",270701,24999.5,0
1,"5-10",37,"bio",270101,24999.5,1
2,"< 5",62,"bio",270210,24999.5,0
2,"< 5",37,"chem",250102,24999.5,1
1,"< 5",46,"bio",270303,24999.5,0
1,"5-10",28,"bio",270403,24999.5,1
1,"< 5",38,"bio",270708,24999.5,0
1,"< 5",33,"bio",270103,24999.5,0
2,"< 5",63,"bio",270599,24999.5,1
1,"< 5",32,"chem",250201,24999.5,1
1,"5-10",47,"bio",270303,24999.5,1
2,"< 5",42,"bio",270602,24999.5,1
1,"< 5",32,"bio",270401,24999.5,1
1,"< 5",37,"bio",270199,24999.5,1
2,"< 5",50,"bio",270708,24999.5,1
2,"> 10",52,"bio",270702,24999.5,1
2,"5-10",46,"bio",270103,24999.5,0
2,"< 5",37,"bio",270499,24999.5,1
1,"< 5",27,"bio",270201,24999.5,0
1,"5-10",38,"bio",270199,24999.5,0
2,"5-10",37,"bio",270702,24999.5,1
1,"5-10",46,"bio",270603,24999.5,1
2,"> 10",47,"bio",270708,24999.5,1
2,"> 10",48,"bio",270703,24999.5,0
2,"> 10",46,"bio",270306,24999.5,1
2,"< 5",36,"physics",240199,24999.5,1
1,"< 5",33,"beh_cog",380103,24999.5,0
1,"< 5",40,"soc",370499,24999.5,1
1,"< 5",37,"bio",270103,24999.5,0
3,"5-10",33,"bio",270501,24999.5,1
3,"> 10",51,"bio",270702,24999.5,1
2,"5-10",42,"bio",270707,24999.5,0
2,"< 5",48,"physics",240101,24999.5,0
2,"5-10",33,"bio",270203,24999.5,1
1,"< 5",66,"beh_cog",380199,24999.5,1
2,"5-10",53,"bio",270203,24999.5,0
2,"> 10",53,"bio",270702,24999.5,1
1,"< 5",41,"bio",270301,24999.5,0
2,"5-10",41,"bio",270603,24999.5,0
1,"< 5",42,"chem",250399,24999.5,1
2,"5-10",46,"beh_cog",380103,24999.5,1
2,"5-10",47,"physics",240201,24999.5,1
4,"< 5",41,"bio",270104,24999.5,1
2,"> 10",56,"bio",270702,24999.5,1
2,"> 10",53,"bio",270702,24999.5,1
4,"> 10",58,"bio",270499,24999.5,1
1,"> 10",66,"bio",270404,24999.5,0
5,"< 5",36,"physics",240101,24999.5,1
2,"< 5",51,"bio",270501,24999.5,1
1,"> 10",46,"bio",270299,24999.5,1
2,"> 10",47,"bio",270708,24999.5,1
2,"> 10",47,"bio",270603,24999.5,0
1,"< 5",32,"bio",270103,24999.5,1
1,"< 5",37,"bio",270602,24999.5,1
2,"5-10",56,"chem",250199,24999.5,1
3,"< 5",38,"bio",270709,24999.5,1
3,"< 5",43,"bio",270602,24999.5,0
3,"> 10",52,"bio",270103,24999.5,0
2,"> 10",56,"bio",270702,24999.5,1
2,"> 10",52,"bio",270702,24999.5,1
3,"> 10",56,"bio",270402,24999.5,1
2,"> 10",52,"bio",270702,24999.5,1
1,"5-10",33,"bio",270299,24999.5,0
2,"5-10",56,"chem",250103,24999.5,1
2,"< 5",50,"bio",270203,24999.5,0
2,"> 10",43,"bio",270103,24999.5,0
3,"> 10",57,"bio",270599,24999.5,1
1,"< 5",46,"soc",370302,24999.5,1
2,"< 5",46,"bio",270107,24999.5,0
3,"< 5",50,"chem",250302,24999.5,0
1,"< 5",31,"bio",270707,24999.5,1
3,"> 10",48,"physics",240204,24999.5,1
2,"> 10",43,"physics",240204,24999.5,1
4,"> 10",58,"bio",270706,24999.5,1
2,"< 5",48,"beh_cog",380201,24999.5,1
6,"< 5",61,"bio",270199,24999.5,1
4,"5-10",46,"bio",270603,24999.5,1
3,"< 5",47,"bio",270105,24999.5,0
2,"> 10",48,"chem",250199,24999.5,0
1,"> 10",48,"bio",270103,24999.5,1
1,"< 5",33,"bio",270402,24999.5,1
1,"< 5",33,"bio",270603,24999.5,0
3,"< 5",53,"bio",270402,24999.5,1
1,"< 5",27,"bio",270201,24999.5,0
4,"< 5",56,"soc",370603,24999.5,1
1,"> 10",56,"bio",270599,24999.5,1
2,"< 5",43,"bio",270602,24999.5,0
3,"< 5",43,"bio",270103,24999.5,0
2,"5-10",48,"bio",270105,24999.5,1
1,"> 10",28,"bio",270103,24999.5,0
2,"> 10",38,"bio",270499,24999.5,1
3,"> 10",37,"bio",270208,24999.5,1
1,"< 5",35,"bio",270103,24999.5,1
3,"> 10",55,"bio",270702,24999.5,1
1,"> 10",28,"physics",240202,24999.5,1
1,"< 5",42,"bio",270301,24999.5,0
3,"< 5",57,"bio",270599,24999.5,1
2,"5-10",46,"bio",270303,24999.5,1
1,"> 10",33,"beh_cog",380107,24999.5,1
1,"> 10",46,"physics",240401,24999.5,1
1,"> 10",63,"beh_cog",380106,24999.5,1
1,"5-10",37,"physics",240201,24999.5,1
2,"< 5",47,"chem",250199,24999.5,1
3,"< 5",57,"bio",270499,24999.5,0
3,"> 10",38,"chem",250105,24999.5,0
2,"5-10",46,"bio",270306,24999.5,1
2,"< 5",42,"bio",270103,24999.5,0
1,"> 10",43,"soc",370601,24999.5,1
1,"< 5",38,"bio",270201,24999.5,1
2,"< 5",43,"bio",270602,24999.5,0
2,"> 10",53,"bio",270504,24999.5,0
1,"> 10",31,"bio",270208,24999.5,0
1,"> 10",43,"bio",270106,24999.5,1
3,"> 10",51,"bio",270702,24999.5,1
1,"5-10",33,"bio",270299,24999.5,0
3,"< 5",72,"beh_cog",380199,24999.5,1
1,"< 5",32,"bio",270401,24999.5,1
3,"< 5",33,"physics",240499,24999.5,1
2,"< 5",52,"chem",250502,24999.5,1
2,"< 5",52,"bio",270106,24999.5,0
2,"5-10",37,"bio",270702,24999.5,1
2,"< 5",38,"bio",270208,24999.5,1
2,"5-10",45,"bio",270603,24999.5,1
2,"> 10",47,"bio",270306,24999.5,1
3,"> 10",52,"bio",270599,24999.5,0
4,"> 10",58,"bio",270499,24999.5,1
4,"> 10",47,"bio",270603,24999.5,0
3,"> 10",47,"bio",270603,24999.5,0
4,"< 5",53,"bio",270203,24999.5,1
2,"> 10",43,"physics",240204,24999.5,1
1,"< 5",56,"bio",270402,24999.5,1
1,"< 5",38,"bio",270602,24999.5,1
4,"> 10",58,"bio",270706,24999.5,1
4,"5-10",57,"bio",270299,24999.5,1
1,"< 5",28,"bio",270299,24999.5,1
3,"> 10",46,"bio",270103,24999.5,1
2,"> 10",53,"chem",250302,24999.5,0
3,"< 5",38,"bio",270703,24999.5,1
2,"< 5",47,"bio",270304,24999.5,0
2,"< 5",46,"physics",240204,24999.5,1
2,"< 5",68,"bio",270708,24999.5,1
3,"> 10",67,"bio",270306,24999.5,1
1,"< 5",32,"bio",270602,24999.5,0
1,"< 5",37,"bio",270303,24999.5,1
1,"> 10",33,"bio",270103,24999.5,0
2,"> 10",61,"soc",370201,24999.5,1
3,"> 10",58,"bio",270708,24999.5,1
1,"< 5",42,"bio",270102,24999.5,0
1,"> 10",53,"bio",270708,24999.5,1
2,"< 5",48,"bio",270106,24999.5,1
3,"< 5",38,"chem",250103,24999.5,1
2,"> 10",48,"bio",270401,24999.5,1
3,"> 10",62,"beh_cog",380108,24999.5,0
1,"< 5",37,"bio",270304,24999.5,1
3,"> 10",33,"physics",240499,24999.5,1
2,"< 5",48,"bio",270303,24999.5,1
1,"< 5",33,"bio",270602,24999.5,1
2,"< 5",33,"bio",270703,24999.5,0
2,"< 5",58,"bio",270103,24999.5,0
1,"> 10",58,"beh_cog",380107,24999.5,1
2,"5-10",41,"bio",270106,24999.5,0
2,"> 10",57,"bio",270199,24999.5,0
1,"5-10",27,"bio",270708,24999.5,1
2,"< 5",67,"bio",270707,24999.5,1
1,"< 5",36,"chem",250301,24999.5,1
1,"< 5",32,"bio",270103,24999.5,1
4,"> 10",58,"bio",270706,24999.5,0
2,"> 10",68,"bio",270106,24999.5,1
1,"< 5",42,"soc",370603,24999.5,1
1,"< 5",31,"bio",270205,24999.5,1
2,"< 5",43,"bio",270699,24999.5,0
1,"< 5",38,"beh_cog",380102,24999.5,1
1,"< 5",46,"soc",370302,24999.5,1
3,"< 5",38,"chem",250201,24999.5,1
2,"> 10",28,"physics",240203,24999.5,1
3,"5-10",38,"bio",270102,24999.5,1
2,"< 5",43,"bio",270106,24999.5,0
1,"< 5",47,"bio",270103,24999.5,1
2,"< 5",37,"bio",270208,24999.5,0
1,"< 5",33,"bio",270603,24999.5,1
2,"5-10",43,"bio",270707,24999.5,1
2,"> 10",27,"soc",370402,24999.5,1
1,"< 5",27,"bio",270106,24999.5,1
5,"< 5",48,"physics",240202,24999.5,1
2,"< 5",48,"bio",270603,24999.5,0
2,"> 10",52,"bio",270504,24999.5,1
3,"< 5",37,"chem",250201,24999.5,1
1,"> 10",47,"physics",240302,24999.5,1
2,"> 10",37,"bio",270708,24999.5,1
3,"> 10",43,"bio",270603,24999.5,0
1,"> 10",46,"physics",240401,24999.5,1
2,"5-10",41,"bio",270303,24999.5,0
4,"> 10",38,"chem",250102,24999.5,0
