"npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
2,"< 5",43,"bio",270107,24999.5,0
3,"< 5",57,"beh_cog",380106,24999.5,0
1,"> 10",53,"chem",250302,24999.5,1
1,"< 5",38,"bio",270602,24999.5,1
2,"< 5",73,"beh_cog",380105,24999.5,1
4,"< 5",41,"bio",270104,24999.5,1
3,"> 10",68,"beh_cog",380106,24999.5,1
2,"> 10",56,"bio",270708,24999.5,1
2,"< 5",38,"bio",270708,24999.5,0
1,"< 5",38,"chem",250103,24999.5,0
2,"< 5",32,"bio",270203,24999.5,0
2,"< 5",63,"beh_cog",380103,24999.5,1
1,"< 5",33,"bio",270103,24999.5,1
4,"> 10",58,"chem",250301,24999.5,1
1,"5-10",42,"bio",270106,24999.5,0
3,"> 10",52,"bio",270210,24999.5,1
4,"5-10",57,"bio",270199,24999.5,0
2,"5-10",56,"bio",270603,24999.5,0
2,"< 5",38,"bio",270103,24999.5,1
1,"> 10",NA,"bio",270708,24999.5,1
4,"> 10",47,"bio",270603,24999.5,1
2,"> 10",53,"bio",270504,24999.5,1
1,"5-10",28,"bio",270403,24999.5,1
3,"> 10",58,"bio",270708,24999.5,1
3,"> 10",52,"bio",270103,24999.5,1
1,"< 5",37,"beh_cog",380107,24999.5,1
2,"> 10",53,"bio",270504,24999.5,1
2,"< 5",43,"beh_cog",380103,24999.5,0
3,"5-10",48,"bio",270103,24999.5,1
2,"< 5",38,"bio",270203,24999.5,0
3,"< 5",48,"bio",270603,24999.5,0
2,"< 5",48,"bio",270303,24999.5,0
2,"> 10",56,"soc",370299,24999.5,1
1,"< 5",36,"bio",270303,24999.5,0
2,"5-10",37,"physics",240501,24999.5,0
1,"> 10",47,"bio",270499,24999.5,1
1,"< 5",32,"beh_cog",380103,24999.5,1
1,"< 5",36,"bio",270208,24999.5,1
2,"< 5",32,"chem",250201,24999.5,0
3,"< 5",72,"beh_cog",380107,24999.5,0
2,"< 5",50,"bio",270504,24999.5,1
1,"< 5",58,"physics",240101,24999.5,0
1,"> 10",33,"bio",270103,24999.5,0
1,"< 5",38,"bio",270106,24999.5,0
2,"< 5",48,"bio",270303,24999.5,0
1,"< 5",37,"beh_cog",380101,24999.5,1
2,"> 10",56,"soc",370299,24999.5,1
2,"< 5",68,"beh_cog",380201,24999.5,1
1,"5-10",43,"bio",270299,24999.5,1
6,"< 5",51,"beh_cog",380107,24999.5,0
1,"5-10",48,"bio",270105,24999.5,0
1,"< 5",38,"bio",270103,24999.5,0
1,"< 5",38,"bio",270106,24999.5,1
1,"5-10",47,"bio",270199,24999.5,0
1,"< 5",37,"bio",270401,24999.5,1
10,"> 10",56,"physics",240101,24999.5,1
1,"> 10",NA,"beh_cog",380102,24999.5,1
1,"5-10",43,"bio",270299,24999.5,1
2,"> 10",56,"soc",370299,24999.5,1
1,"< 5",43,"bio",270102,24999.5,0
1,"< 5",38,"bio",270201,24999.5,0
1,"> 10",41,"soc",370504,24999.5,1
3,"> 10",52,"bio",270707,24999.5,1
1,"> 10",61,"bio",270199,24999.5,0
1,"< 5",36,"bio",270208,24999.5,1
2,"> 10",47,"bio",270603,24999.5,0
3,"> 10",61,"bio",270603,24999.5,0
1,"> 10",56,"bio",270106,24999.5,1
1,"> 10",40,"soc",370504,24999.5,1
2,"> 10",58,"beh_cog",380101,24999.5,0
2,"5-10",48,"bio",270303,24999.5,0
5,"> 10",52,"bio",270210,24999.5,0
2,"> 10",51,"bio",270599,24999.5,0
3,"< 5",72,"beh_cog",380107,24999.5,0
2,"< 5",66,"beh_cog",380201,24999.5,1
2,"5-10",42,"bio",270602,24999.5,0
1,"< 5",37,"bio",270104,24999.5,0
3,"> 10",63,"beh_cog",380103,24999.5,1
2,"< 5",48,"bio",270603,24999.5,0
1,"< 5",25,"bio",270107,24999.5,0
2,"> 10",47,"chem",250501,24999.5,1
3,"5-10",42,"bio",270106,24999.5,0
3,"> 10",46,"chem",250402,24999.5,0
1,"< 5",33,"beh_cog",380103,24999.5,0
1,"> 10",48,"soc",370601,24999.5,0
1,"< 5",46,"bio",270303,24999.5,1
5,"< 5",51,"bio",270207,24999.5,0
1,"< 5",36,"beh_cog",380107,24999.5,0
2,"< 5",56,"beh_cog",380201,24999.5,1
1,"< 5",65,"bio",270502,24999.5,0
2,"5-10",57,"soc",370105,24999.5,1
2,"> 10",43,"bio",270206,24999.5,1
2,"> 10",57,"bio",270702,24999.5,1
3,"< 5",72,"beh_cog",380107,24999.5,0
1,"< 5",32,"bio",270106,24999.5,0
3,"> 10",33,"bio",270707,24999.5,1
1,"5-10",42,"bio",270106,24999.5,0
2,"5-10",46,"bio",270603,24999.5,0
1,"> 10",55,"physics",240100,24999.5,0
1,"5-10",42,"bio",270299,24999.5,1
2,"> 10",62,"bio",270199,24999.5,1
1,"> 10",56,"bio",270106,24999.5,1
2,"< 5",43,"bio",270106,24999.5,0
2,"5-10",57,"soc",370106,24999.5,1
5,"> 10",71,"beh_cog",380107,24999.5,1
1,"> 10",33,"bio",270708,24999.5,0
1,"5-10",41,"bio",270603,24999.5,1
1,"5-10",42,"bio",270299,24999.5,0
2,"> 10",48,"bio",270603,24999.5,0
3,"5-10",38,"bio",270108,24999.5,1
1,"5-10",48,"bio",270199,49999.5,1
2,"> 10",51,"beh_cog",380106,49999.5,1
1,"< 5",67,"bio",270103,49999.5,1
2,"> 10",43,"bio",270107,49999.5,0
1,"< 5",36,"beh_cog",380107,49999.5,0
6,"5-10",57,"bio",270299,49999.5,0
6,"5-10",57,"bio",270299,49999.5,1
2,"< 5",57,"bio",270401,49999.5,1
2,"< 5",41,"bio",270103,49999.5,0
2,"5-10",37,"bio",270702,49999.5,1
1,"> 10",61,"bio",270802,49999.5,1
3,"5-10",42,"bio",270703,49999.5,1
1,"< 5",31,"bio",270106,49999.5,1
3,"5-10",52,"bio",270199,49999.5,0
2,"< 5",61,"bio",270603,49999.5,1
3,"< 5",48,"physics",240101,49999.5,0
2,"> 10",43,"bio",270107,49999.5,1
2,"5-10",51,"chem",250302,49999.5,1
3,"> 10",58,"beh_cog",380107,49999.5,0
2,"> 10",52,"bio",270504,49999.5,1
3,"< 5",36,"beh_cog",380399,49999.5,1
3,"< 5",43,"bio",270699,49999.5,1
2,"> 10",67,"bio",270404,49999.5,0
2,"5-10",47,"bio",270303,49999.5,1
4,"< 5",58,"bio",270603,49999.5,1
2,"< 5",66,"bio",270599,49999.5,0
1,"5-10",41,"bio",270199,49999.5,1
2,"< 5",48,"bio",270603,49999.5,0
1,"> 10",61,"bio",270802,49999.5,1
1,"< 5",62,"soc",370302,49999.5,0
3,"5-10",38,"beh_cog",380103,49999.5,0
2,"5-10",48,"bio",270203,49999.5,1
2,"5-10",51,"bio",270106,49999.5,1
2,"> 10",52,"beh_cog",380108,49999.5,1
6,"> 10",58,"soc",370204,49999.5,1
1,"5-10",52,"bio",270199,49999.5,0
1,"5-10",41,"bio",270199,49999.5,1
4,"5-10",47,"bio",270303,49999.5,1
1,"< 5",27,"chem",250301,49999.5,1
2,"< 5",50,"bio",270299,49999.5,0
2,"< 5",35,"beh_cog",380399,49999.5,1
6,"5-10",50,"bio",270602,49999.5,1
3,"> 10",58,"bio",270708,49999.5,1
1,"> 10",63,"bio",270499,49999.5,1
1,"5-10",55,"bio",270108,49999.5,0
6,"> 10",51,"bio",270602,49999.5,1
2,"5-10",37,"bio",270702,49999.5,1
1,"< 5",63,"chem",250301,49999.5,1
2,"< 5",65,"bio",270106,49999.5,0
1,"> 10",46,"bio",270108,49999.5,1
6,"5-10",57,"bio",270299,49999.5,1
2,"5-10",56,"bio",270202,49999.5,1
1,"< 5",31,"bio",270106,49999.5,1
1,"< 5",31,"chem",250201,49999.5,1
2,"< 5",48,"bio",270303,49999.5,0
1,"> 10",41,"bio",270104,49999.5,1
2,"> 10",48,"chem",250103,49999.5,0
1,"< 5",37,"bio",270199,49999.5,1
1,"> 10",51,"bio",270210,49999.5,0
3,"> 10",60,"bio",270202,49999.5,1
2,"> 10",42,"bio",270106,49999.5,1
7,"5-10",58,"chem",250106,49999.5,1
1,"< 5",32,"chem",250201,49999.5,1
4,"< 5",36,"bio",270708,49999.5,1
6,"> 10",47,"bio",270210,49999.5,1
1,"< 5",62,"soc",370302,49999.5,0
1,"< 5",56,"bio",270104,49999.5,1
3,"> 10",61,"bio",270202,49999.5,1
1,"> 10",66,"soc",370106,49999.5,1
1,"> 10",41,"chem",250301,49999.5,1
2,"> 10",57,"physics",240201,49999.5,1
1,"> 10",NA,"bio",270199,49999.5,1
1,"> 10",46,"physics",240302,49999.5,1
1,"> 10",NA,"bio",270199,49999.5,0
4,"> 10",NA,"physics",240201,49999.5,1
3,"> 10",45,"physics",240401,49999.5,0
1,"> 10",41,"bio",270106,49999.5,1
1,"< 5",35,"bio",270303,49999.5,1
1,"> 10",32,"bio",270707,49999.5,1
2,"> 10",52,"beh_cog",380101,49999.5,1
1,"< 5",35,"bio",270203,49999.5,1
1,"> 10",53,"bio",270299,49999.5,1
1,"5-10",36,"bio",270106,49999.5,1
4,"> 10",52,"bio",270210,49999.5,1
2,"5-10",40,"chem",250105,49999.5,0
4,"< 5",57,"bio",270603,49999.5,1
2,"> 10",51,"bio",270205,49999.5,1
2,"< 5",48,"bio",270303,49999.5,1
1,"> 10",36,"physics",240101,49999.5,0
1,"5-10",27,"bio",270708,49999.5,0
2,"> 10",46,"bio",270701,49999.5,1
1,"> 10",53,"bio",270103,49999.5,1
1,"< 5",32,"chem",250302,49999.5,1
3,"> 10",61,"beh_cog",380103,49999.5,1
1,"> 10",NA,"bio",270205,49999.5,1
2,"< 5",57,"bio",270106,49999.5,1
3,"5-10",52,"bio",270199,49999.5,1
1,"> 10",NA,"beh_cog",380103,49999.5,1
1,"< 5",32,"chem",250201,49999.5,1
1,"< 5",45,"bio",270201,49999.5,0
3,"> 10",46,"bio",270303,49999.5,0
1,"< 5",32,"bio",270299,49999.5,1
1,"> 10",NA,"chem",250302,49999.5,1
2,"> 10",46,"chem",250303,49999.5,1
3,"> 10",52,"bio",270707,49999.5,1
2,"< 5",46,"chem",250302,49999.5,1
3,"5-10",46,"bio",270303,49999.5,0
4,"< 5",55,"bio",270401,49999.5,1
2,"> 10",47,"bio",270199,49999.5,1
3,"> 10",52,"bio",270106,49999.5,0
1,"5-10",46,"bio",270304,49999.5,0
1,"> 10",51,"bio",270702,49999.5,1
1,"> 10",45,"physics",240401,49999.5,0
1,"> 10",47,"physics",240203,49999.5,1
3,"> 10",47,"physics",240401,49999.5,1
1,"< 5",27,"bio",270106,49999.5,1
2,"5-10",46,"bio",270103,49999.5,1
3,"< 5",46,"bio",270303,49999.5,0
3,"> 10",56,"bio",270199,49999.5,1
1,"< 5",27,"bio",270299,49999.5,1
1,"< 5",62,"soc",370302,49999.5,0
2,"5-10",47,"bio",270304,49999.5,1
6,"5-10",63,"bio",270304,49999.5,1
2,"> 10",52,"bio",270702,49999.5,1
1,"> 10",47,"chem",250104,49999.5,1
1,"> 10",NA,"chem",250206,49999.5,1
2,"> 10",67,"soc",370401,49999.5,1
2,"< 5",52,"bio",270504,49999.5,1
2,"5-10",67,"bio",270708,49999.5,0
1,"5-10",48,"bio",270801,49999.5,0
1,"> 10",52,"bio",270299,49999.5,1
2,"> 10",42,"beh_cog",380103,49999.5,1
1,"> 10",NA,"bio",270106,49999.5,1
1,"> 10",56,"physics",240101,49999.5,1
1,"> 10",51,"bio",270199,49999.5,1
2,"5-10",57,"bio",270202,49999.5,1
4,"> 10",52,"bio",270210,49999.5,1
1,"< 5",32,"bio",270205,49999.5,1
1,"> 10",40,"bio",270104,49999.5,1
1,"> 10",52,"bio",270203,49999.5,1
1,"> 10",57,"physics",240101,49999.5,1
3,"5-10",51,"bio",270103,49999.5,0
2,"> 10",42,"chem",250301,49999.5,1
3,"< 5",62,"chem",250204,49999.5,1
1,"< 5",32,"chem",250103,49999.5,1
1,"< 5",41,"physics",240401,49999.5,1
2,"< 5",41,"beh_cog",380105,49999.5,1
15,"< 5",71,"chem",250105,49999.5,1
2,"> 10",52,"beh_cog",380102,49999.5,1
5,"< 5",58,"physics",240101,49999.5,0
3,"> 10",47,"physics",240401,49999.5,1
4,"< 5",47,"bio",270205,49999.5,1
1,"< 5",26,"bio",270205,49999.5,1
3,"< 5",51,"bio",270199,49999.5,0
6,"5-10",56,"chem",250199,49999.5,1
2,"> 10",52,"chem",250302,49999.5,0
15,"< 5",72,"chem",250105,49999.5,1
4,"> 10",48,"bio",270199,49999.5,1
2,"> 10",47,"physics",240302,49999.5,1
2,"< 5",41,"bio",270103,49999.5,1
1,"< 5",37,"bio",270106,49999.5,1
7,"> 10",48,"physics",240401,49999.5,1
2,"< 5",37,"bio",270199,49999.5,1
2,"> 10",41,"beh_cog",380103,49999.5,1
2,"> 10",52,"chem",250402,49999.5,0
4,"> 10",47,"bio",270303,49999.5,0
2,"> 10",51,"bio",270105,49999.5,1
6,"< 5",50,"soc",370102,49999.5,1
4,"> 10",52,"bio",270103,49999.5,1
1,"< 5",47,"bio",270804,49999.5,1
1,"< 5",40,"physics",240302,49999.5,1
1,"< 5",35,"bio",270303,49999.5,1
1,"5-10",38,"bio",270106,49999.5,1
3,"< 5",56,"physics",240101,49999.5,1
6,"< 5",46,"physics",240203,49999.5,1
1,"5-10",37,"bio",270105,49999.5,1
3,"5-10",67,"bio",270708,49999.5,0
2,"5-10",41,"bio",270103,49999.5,1
1,"< 5",42,"bio",270103,49999.5,1
1,"5-10",57,"bio",270210,49999.5,1
1,"5-10",42,"bio",270106,49999.5,1
2,"> 10",43,"bio",270199,49999.5,1
2,"< 5",41,"bio",270199,49999.5,1
3,"> 10",47,"bio",270103,49999.5,1
1,"< 5",38,"bio",270106,49999.5,1
7,"5-10",48,"bio",270210,49999.5,0
1,"< 5",33,"bio",270603,49999.5,0
3,"> 10",62,"bio",270205,49999.5,1
5,"> 10",41,"physics",240301,49999.5,1
2,"< 5",56,"soc",370201,49999.5,1
2,"5-10",46,"bio",270201,49999.5,1
4,"> 10",67,"beh_cog",380106,49999.5,0
1,"> 10",50,"bio",270199,49999.5,1
1,"< 5",33,"bio",270106,49999.5,1
3,"> 10",56,"physics",240101,49999.5,1
3,"< 5",47,"physics",240101,49999.5,1
1,"< 5",40,"bio",270103,49999.5,1
1,"5-10",30,"bio",270205,49999.5,1
2,"< 5",47,"bio",270303,49999.5,0
1,"> 10",NA,"bio",270802,249999.5,0
1,"< 5",42,"bio",270103,249999.5,1
1,"5-10",37,"bio",270106,249999.5,1
1,"5-10",52,"bio",270103,249999.5,1
1,"> 10",NA,"bio",270199,249999.5,1
3,"5-10",57,"bio",270210,249999.5,1
3,"< 5",36,"bio",270108,249999.5,0
2,"5-10",52,"bio",270103,249999.5,1
1,"< 5",31,"bio",270205,249999.5,1
3,"5-10",48,"beh_cog",380103,249999.5,1
1,"> 10",48,"bio",270205,249999.5,1
2,"> 10",57,"chem",250302,249999.5,1
2,"< 5",37,"physics",240402,249999.5,1
4,"> 10",56,"bio",270203,249999.5,0
2,"< 5",43,"bio",270106,249999.5,1
1,"5-10",47,"bio",270303,249999.5,1
2,"< 5",52,"bio",270203,249999.5,0
1,"5-10",47,"bio",270199,249999.5,1
1,"5-10",38,"bio",270106,249999.5,1
1,"> 10",56,"bio",270202,249999.5,1
2,"5-10",48,"bio",270101,249999.5,1
1,"< 5",56,"bio",270103,249999.5,0
3,"> 10",62,"chem",250301,249999.5,1
1,"> 10",52,"physics",240302,249999.5,1
1,"< 5",42,"bio",270107,249999.5,1
1,"> 10",NA,"beh_cog",380102,249999.5,1
2,"> 10",67,"bio",270299,249999.5,0
1,"5-10",46,"bio",270106,249999.5,1
2,"5-10",41,"soc",370199,249999.5,0
2,"< 5",42,"bio",270103,249999.5,1
3,"5-10",55,"beh_cog",380199,249999.5,1
5,"5-10",47,"bio",270103,249999.5,1
1,"5-10",43,"bio",270299,249999.5,0
1,"> 10",NA,"bio",270103,249999.5,1
2,"5-10",48,"bio",270203,249999.5,1
1,"< 5",41,"bio",270602,249999.5,0
1,"< 5",38,"bio",270103,249999.5,0
1,"> 10",NA,"beh_cog",380102,249999.5,1
6,"< 5",45,"bio",270299,249999.5,1
2,"< 5",62,"bio",270107,249999.5,1
1,"> 10",58,"bio",270201,249999.5,1
1,"5-10",58,"bio",270199,249999.5,1
2,"5-10",58,"bio",270199,249999.5,1
1,"< 5",58,"soc",370105,249999.5,0
7,"> 10",52,"physics",240401,249999.5,1
1,"< 5",41,"bio",270103,249999.5,1
6,"< 5",52,"bio",270203,249999.5,1
1,"< 5",47,"bio",270299,249999.5,1
1,"< 5",42,"bio",270106,249999.5,1
2,"5-10",51,"bio",270103,249999.5,1
15,"> 10",52,"chem",250503,249999.5,1
2,"> 10",56,"bio",270899,249999.5,0
1,"5-10",52,"bio",270103,249999.5,0
3,"5-10",47,"bio",270106,249999.5,1
1,"> 10",46,"physics",240201,249999.5,1
1,"5-10",42,"bio",270299,249999.5,1
2,"> 10",46,"physics",240204,249999.5,1
2,"< 5",51,"bio",270207,249999.5,1
1,"< 5",45,"bio",270303,249999.5,1
1,"< 5",57,"bio",270401,249999.5,0
1,"5-10",43,"bio",270199,249999.5,1
6,"> 10",66,"physics",240302,499999.5,1
6,"< 5",62,"bio",270208,499999.5,1
6,"> 10",66,"physics",240302,499999.5,1
3,"> 10",46,"bio",270303,499999.5,1
10,"> 10",57,"physics",240101,499999.5,1
2,"> 10",56,"bio",270802,499999.5,0
1,"< 5",47,"bio",270304,499999.5,1
2,"> 10",47,"physics",240302,499999.5,1
3,"< 5",46,"bio",270107,499999.5,0
13,"> 10",65,"bio",270299,499999.5,1
3,"< 5",40,"chem",250103,499999.5,1
10,"< 5",36,"bio",270108,499999.5,1
6,"> 10",67,"bio",270708,499999.5,0
1,"> 10",67,"bio",270299,499999.5,0
NA,"> 10",NA,"physics",240499,499999.5,1
1,"> 10",26,"physics",240204,499999.5,0
4,"> 10",55,"bio",270708,NA,0
1,"< 5",41,"bio",270801,NA,0
1,"> 10",45,"soc",370107,NA,0
1,"5-10",40,"bio",270299,NA,0
4,"5-10",45,"bio",270603,NA,0
1,"5-10",57,"bio",270210,NA,0
1,"< 5",51,"chem",250201,NA,1
2,"< 5",50,"beh_cog",380107,NA,0
2,"> 10",55,"bio",270403,NA,1
2,"< 5",50,"bio",270708,NA,1
1,"5-10",41,"bio",270299,NA,0
1,"< 5",36,"bio",270708,NA,0
1,"< 5",30,"chem",250200,NA,0
3,"> 10",56,"bio",270304,NA,1
2,"5-10",50,"bio",270103,NA,1
1,"< 5",55,"physics",240101,NA,0
2,"< 5",40,"bio",270199,NA,1
3,"< 5",50,"bio",270699,NA,0
1,"< 5",30,"bio",270106,NA,1
1,"< 5",35,"bio",270208,NA,0
1,"< 5",25,"bio",270106,NA,0
2,"> 10",60,"bio",270199,NA,1
1,"< 5",41,"chem",250101,NA,0
4,"> 10",41,"physics",240401,NA,1
1,"> 10",30,"physics",240499,NA,1
2,"< 5",40,"bio",270103,NA,1
1,"< 5",40,"beh_cog",380299,NA,1
1,"< 5",41,"beh_cog",380107,NA,0
1,"< 5",35,"chem",250103,NA,0
1,"< 5",40,"bio",270306,NA,1
2,"> 10",40,"physics",240301,NA,1
2,"< 5",35,"bio",270203,NA,1
3,"5-10",41,"bio",270103,NA,0
1,"< 5",31,"bio",270603,NA,0
1,"< 5",35,"bio",270203,NA,0
2,"< 5",50,"bio",270501,NA,1
1,"> 10",NA,"physics",240201,NA,0
2,"5-10",40,"bio",270603,NA,0
2,"< 5",51,"beh_cog",380107,NA,0
1,"> 10",40,"physics",240401,NA,1
3,"< 5",50,"bio",270802,NA,0
3,"> 10",55,"bio",270199,NA,1
1,"< 5",35,"chem",250103,NA,1
5,"< 5",62,"beh_cog",380103,NA,0
3,"> 10",47,"bio",270801,NA,0
2,"5-10",55,"soc",370105,NA,1
2,"< 5",45,"bio",270304,NA,0
4,"< 5",38,"bio",270103,NA,0
2,"< 5",40,"bio",270205,NA,1
1,"< 5",40,"bio",270199,NA,1
1,"> 10",NA,"bio",270000,NA,0
1,"> 10",65,"bio",270404,NA,0
1,"> 10",NA,"bio",270105,NA,0
1,"> 10",NA,"physics",240302,NA,0
3,"> 10",55,"bio",270702,NA,1
1,"< 5",60,"soc",370302,NA,1
1,"< 5",35,"physics",240101,NA,1
1,"< 5",50,"bio",270203,NA,0
2,"5-10",40,"bio",270707,NA,1
1,"5-10",38,"physics",240201,NA,0
5,"> 10",40,"beh_cog",380103,NA,0
1,"< 5",43,"physics",240302,NA,0
1,"< 5",33,"chem",250103,NA,0
1,"< 5",32,"bio",270203,NA,0
1,"< 5",33,"beh_cog",380103,NA,0
1,"> 10",60,"soc",370602,NA,0
1,"> 10",45,"beh_cog",380208,NA,1
2,"< 5",40,"bio",270208,NA,0
1,"> 10",55,"bio",270899,NA,0
